Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
C	2	5	FAD sodium salt			FAD	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	VWWQXMAJTJZDQX-UYBVJOGSSA-N	C27H33N9O15P2	CHEBI:16238	C00016	HMDB0001248	
D	9	3	Metyrosine	C10H13NO3	672-87-7	alpha-methyl-L-tyrosine	C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O	InChI=1S/C10H13NO3/c1-10(11,9(13)14)6-7-2-4-8(12)5-3-7/h2-5,12H,6,11H2,1H3,(H,13,14)/t10-/m0/s1	NHTGHBARYWONDQ-JTQLQIEISA-N	C10H13NO3	CHEBI:6912	C07921	HMDB0014903	
I	2	8	Ribavirin	C8H12N4O5	36791-04-5	ribavirin	NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C8H12N4O5/c9-6(16)7-10-2-12(11-7)8-5(15)4(14)3(1-13)17-8/h2-5,8,13-15H,1H2,(H2,9,16)/t3-,4-,5-,8-/m1/s1	IWUCXVSUMQZMFG-AFCXAGJDSA-N	C8H12N4O5	CHEBI:63580		HMDB0014949	
			1-Docosanol	C22H46O	661-19-8	docosan-1-ol	CCCCCCCCCCCCCCCCCCCCCCO	InChI=1S/C22H46O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23/h23H,2-22H2,1H3	NOPFSRXAKWQILS-UHFFFAOYSA-N	C22H46O	CHEBI:31000		HMDB0014770	
H	2	1	2-Naphthol	C10H8O	135-19-3	2-naphthol	OC1=CC2=CC=CC=C2C=C1	InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H	JWAZRIHNYRIHIV-UHFFFAOYSA-N	C10H8O	CHEBI:10432	C11713	HMDB0012322	
			3-(2-Methylphenyl)propanoic acid	C10H12O2	22084-89-5	3-(2-Methylphenyl)propanoic acid	CC1=CC=CC=C1CCC(=O)O	InChI=1S/C10H12O2/c1-8-4-2-3-5-9(8)6-7-10(11)12/h2-5H,6-7H2,1H3,(H,11,12)	JIRKNEAMPYVPTD-UHFFFAOYSA-N	C10H12O2				
			4-Isopropylaniline	C9H13N	99-88-7	para-isopropylaniline	CC(C)c1ccc(N)cc1	InChI=1S/C9H13N/c1-7(2)8-3-5-9(10)6-4-8/h3-7H,10H2,1-2H3	LRTFPLFDLJYEKT-UHFFFAOYSA-N	C9H13N	CHEBI:43405		HMDB0062481	
I	10	8	Batyl alcohol	C21H44O3	544-62-7	1-O-octadecyl-sn-glycerol	[H][C@](O)(CO)COCCCCCCCCCCCCCCCCCC	InChI=1S/C21H44O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24-20-21(23)19-22/h21-23H,2-20H2,1H3/t21-/m0/s1	OGBUMNBNEWYMNJ-NRFANRHFSA-N	C21H44O3	CHEBI:74001		HMDB0011143	
			Bisphenol A	C15H16O2	80-05-7	bisphenol A	CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3	IISBACLAFKSPIT-UHFFFAOYSA-N	C15H16O2	CHEBI:33216	C13624	HMDB0032133	
J	10	8	Clomipramine HCl	C19H23ClN2.HCl	17321-77-6	clomipramine	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2	InChI=1S/C19H23ClN2/c1-21(2)12-5-13-22-18-7-4-3-6-15(18)8-9-16-10-11-17(20)14-19(16)22/h3-4,6-7,10-11,14H,5,8-9,12-13H2,1-2H3	GDLIGKIOYRNHDA-UHFFFAOYSA-N	C19H23ClN2	CHEBI:47780	C06918	HMDB0015372	
I	3	2	Deoxycholic acid	C24H40O4	83-44-3	deoxycholic acid	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O	InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1	KXGVEGMKQFWNSR-LLQZFEROSA-N	C24H40O4	CHEBI:28834	C04483	HMDB0000626	LMST04010040
F	9	1	Diclofenac acid	C14H11Cl2NO2	15307-86-5	diclofenac	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl	InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)	DCOPUUMXTXDBNB-UHFFFAOYSA-N	C14H11Cl2NO2	CHEBI:47381	C01690	HMDB0014724	
A	5	10	Fenofibrate	C20H21ClO4	49562-28-9	fenofibrate	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	InChI=1S/C20H21ClO4/c1-13(2)24-19(23)20(3,4)25-17-11-7-15(8-12-17)18(22)14-5-9-16(21)10-6-14/h5-13H,1-4H3	YMTINGFKWWXKFG-UHFFFAOYSA-N	C20H21ClO4	CHEBI:5001	C07586	HMDB0015173	
J	3	1	Flavoxate HCl	C24H25NO4.HCl	3717-88-2	flavoxate	CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1=CC=CC=C1	InChI=1S/C24H25NO4/c1-17-21(26)19-11-8-12-20(23(19)29-22(17)18-9-4-2-5-10-18)24(27)28-16-15-25-13-6-3-7-14-25/h2,4-5,8-12H,3,6-7,13-16H2,1H3	SPIUTQOUKAMGCX-UHFFFAOYSA-N	C24H25NO4	CHEBI:5088	C07809	HMDB0015279	
A	10	8	Glimepiride	C24H34N4O5S	93479-97-1	glimepiride	CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O	InChI=1S/C24H34N4O5S/c1-4-21-17(3)15-28(22(21)29)24(31)25-14-13-18-7-11-20(12-8-18)34(32,33)27-23(30)26-19-9-5-16(2)6-10-19/h7-8,11-12,16,19H,4-6,9-10,13-15H2,1-3H3,(H,25,31)(H2,26,27,30)	WIGIZIANZCJQQY-UHFFFAOYSA-N	C24H34N4O5S	CHEBI:5383	C07669	HMDB0014367	
F	9	11	Glycerol Tributyrate	C15H26O6	60-01-5	tributyrin	CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC	InChI=1S/C15H26O6/c1-4-7-13(16)19-10-12(21-15(18)9-6-3)11-20-14(17)8-5-2/h12H,4-11H2,1-3H3	UYXTWWCETRIEDR-UHFFFAOYSA-N	C15H26O6	CHEBI:35020	C13870	HMDB0031094	
B	10	11	Heptanoic acid	C7H14O2	111-14-8	heptanoic acid	CCCCCCC(O)=O	InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)	MNWFXJYAOYHMED-UHFFFAOYSA-N	C7H14O2	CHEBI:45571	C17714	HMDB0000666	LMPK12140003
			Monolaurin	C15H30O4	142-18-7	rac-1-monolauroylglycerol	CCCCCCCCCCCC(=O)OCC(O)CO	InChI=1S/C15H30O4/c1-2-3-4-5-6-7-8-9-10-11-15(18)19-13-14(17)12-16/h14,16-17H,2-13H2,1H3	ARIWANIATODDMH-UHFFFAOYSA-N	C15H30O4	CHEBI:75543			
J	2	9	Nifedipine	C17H18N2O6	21829-25-4	nifedipine	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC	InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3	HYIMSNHJOBLJNT-UHFFFAOYSA-N	C17H18N2O6	CHEBI:7565	C07266	HMDB0015247	
D	10	9	Thioridazine HCl	C21H26N2S2.HCl	130-61-0	thioridazine	CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1	InChI=1S/C21H26N2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(24-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3	KLBQZWRITKRQQV-UHFFFAOYSA-N	C21H26N2S2	CHEBI:9566		HMDB0014817	
I	4	4	Thymol	C10H14O	89-83-8	thymol	CC(C)C1=C(O)C=C(C)C=C1	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3	MGSRCZKZVOBKFT-UHFFFAOYSA-N	C10H14O	CHEBI:27607	C09908	HMDB0001878	
F	8	1	Valsartan	C24H29N5O3	137862-53-4	valsartan	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O	InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1	ACWBQPMHZXGDFX-QFIPXVFZSA-N	C24H29N5O3	CHEBI:9927		HMDB0014323	
I	9	10	δ-Undecalactone	C11H20O2	710-04-3	6-Hexyltetrahydro-2H-pyran-2-on	O1C(CCCCCC)CCCC1=O	InChI=1S/C11H20O2/c1-2-3-4-5-7-10-8-6-9-11(12)13-10/h10H,2-9H2,1H3	YZRXRLLRSPQHDK-UHFFFAOYSA-N	C11H20O2	CHEBI:171846		HMDB0036784	
D	3	7	4-Chloro-3,5-dimethylphenol	C8H9ClO	88-04-0	4-chloro-3,5-dimethylphenol	Cc1cc(O)cc(C)c1Cl	InChI=1S/C8H9ClO/c1-5-3-7(10)4-6(2)8(5)9/h3-4,10H,1-2H3	OSDLLIBGSJNGJE-UHFFFAOYSA-N	C8H9ClO	CHEBI:34393	C14715		
			4'-Isopropylacetophenone	C11H14O	645-13-6	4'-Isopropylacetophenone	CC(C)C1=CC=C(C=C1)C(C)=O	InChI=1S/C11H14O/c1-8(2)10-4-6-11(7-5-10)9(3)12/h4-8H,1-3H3	PDLCCNYKIIUWHA-UHFFFAOYSA-N	C11H14O			HMDB0032025	
D	8	7	Abietic Acid	C20H30O2	514-10-3	abietic acid	[H][C@]12CCC(=CC1=CC[C@@]1([H])[C@@](C)(CCC[C@]21C)C(O)=O)C(C)C	InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)/t16-,17+,19+,20+/m0/s1	RSWGJHLUYNHPMX-ONCXSQPRSA-	C20H30O2	CHEBI:28987	C06087		LMPR0104050001
A	8	10	Amiodarone HCl	C25H29I2NO3.HCl	19774-82-4	amiodarone	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	C25H29I2NO3	CHEBI:2663	C06823	HMDB0015250	
I	1	9	Benzhexol hydrochloride	C20H31NO.HCl	52-49-3	Trihexyphenidyl	OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1	InChI=1S/C20H31NO/c22-20(18-10-4-1-5-11-18,19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1,4-5,10-11,19,22H,2-3,6-9,12-17H2	HWHLPVGTWGOCJO-UHFFFAOYSA-N	C20H31NO	CHEBI:9720	C07171	HMDB0014520	
D	1	9	Canrenone	C22H28O3	976-71-6	canrenone	[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C	InChI=1S/C22H28O3/c1-20-9-5-15(23)13-14(20)3-4-16-17(20)6-10-21(2)18(16)7-11-22(21)12-8-19(24)25-22/h3-4,13,16-18H,5-12H2,1-2H3/t16-,17+,18+,20+,21+,22-/m1/s1	UJVLDDZCTMKXJK-WNHSNXHDSA-N	C22H28O3	CHEBI:987229		HMDB0003033	
A	6	9	Felodipine	C18H19Cl2NO4	72509-76-3	felodipine	CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC	InChI=1S/C18H19Cl2NO4/c1-5-25-18(23)14-10(3)21-9(2)13(17(22)24-4)15(14)11-7-6-8-12(19)16(11)20/h6-8,15,21H,5H2,1-4H3	RZTAMFZIAATZDJ-UHFFFAOYSA-N	C18H19Cl2NO4	CHEBI:585948		HMDB0015158	
B	8	9	Flavone	C15H10O2	525-82-6	flavone	O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1	InChI=1S/C15H10O2/c16-13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-10H	VHBFFQKBGNRLFZ-UHFFFAOYSA-N	C15H10O2	CHEBI:42491	C15608	HMDB0003075	
I	5	9	Fluoxetine hydrochloride	C17H18F3NO.HCl	56296-78-7	N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1	InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3	RTHCYVBBDHJXIQ-UHFFFAOYSA-N	C17H18F3NO	CHEBI:86990		HMDB0014615	
J	7	9	Gliquidone	C27H33N3O6S	33342-05-1	1-cyclohexyl-3-[4-[2-(7-methoxy-4,4-dimethyl-1,3-dioxo-2-isoquinolinyl)ethyl]phenyl]sulfonylurea	COC1=CC2=C(C=C1)C(C)(C)C(=O)N(CCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1)C2=O	InChI=1S/C27H33N3O6S/c1-27(2)23-14-11-20(36-3)17-22(23)24(31)30(25(27)32)16-15-18-9-12-21(13-10-18)37(34,35)29-26(33)28-19-7-5-4-6-8-19/h9-14,17,19H,4-8,15-16H2,1-3H3,(H2,28,29,33)	LLJFMFZYVVLQKT-UHFFFAOYSA-N	C27H33N3O6S	CHEBI:93416		HMDB0015381	
A	5	2	Glycine lauryl ester HCl	C14H29NO2.HCl	16194-11-9	glycine lauryl ester	CCCCCCCCCCCCOC(=O)CN	InChI=1S/C14H29NO2/c1-2-3-4-5-6-7-8-9-10-11-12-17-14(16)13-15/h2-13,15H2,1H3	YVZRXRJDBYHNMK-UHFFFAOYSA-N	C14H29NO2				
B	6	9	Hexadecylpyridinium chloride	C21H38N.Cl	123-03-5	cetylpyridinium	CCCCCCCCCCCCCCCC[n+]1ccccc1	InChI=1S/C21H38N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22/h15,17-18,20-21H,2-14,16,19H2,1H3/q+1	NEUSVAOJNUQRTM-UHFFFAOYSA-N	C21H38N	CHEBI:32914			
C	4	8	Ibuprofen	C13H18O2	15687-27-1	ibuprofen	CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)	HEFNNWSXXWATRW-UHFFFAOYSA-N	C13H18O2	CHEBI:5855	C01588	HMDB0001925	
H	7	9	Irbesartan	C25H28N6O	138402-11-6	irbesartan	CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1	InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)	YOSHYTLCDANDAN-UHFFFAOYSA-N	C25H28N6O	CHEBI:5959	C07469	HMDB0015163	
J	5	8	Nicardipine HCl	C26H29N3O6.HCl	54527-84-3	(R)-nicardipine	[H][C@@]1(C2=CC=CC(=C2)[N+]([O-])=O)C(C(=O)OC)=C(C)NC(C)=C1C(=O)OCCN(C)CC1=CC=CC=C1	InChI=1S/C26H29N3O6/c1-17-22(25(30)34-4)24(20-11-8-12-21(15-20)29(32)33)23(18(2)27-17)26(31)35-14-13-28(3)16-19-9-6-5-7-10-19/h5-12,15,24,27H,13-14,16H2,1-4H3/t24-/m1/s1	ZBBHBTPTTSWHBA-XMMPIXPASA-N	C26H29N3O6	CHEBI:180904	C07264	HMDB0014760	
			Paroxetine HCl	C19H20FNO3.HCl	78246-49-8	paroxetine	FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1	InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1	AHOUBRCZNHFOSL-YOEHRIQHSA-N	C19H20FNO3	CHEBI:7936	C07415	HMDB0014853	
A	7	10	Promethazine hydrochloride	C17H20N2S.HCl	58-33-3	promethazine	CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C	InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3	PWWVAXIEGOYWEE-UHFFFAOYSA-N	C17H20N2S	CHEBI:8461	C07404	HMDB0015202	
J	9	9	Raloxifene HCl	C28H27NO4S.HCl	82640-04-8	raloxifene	OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2	InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2	GZUITABIAKMVPG-UHFFFAOYSA-N	C28H27NO4S	CHEBI:8772	C07228	HMDB0014624	
B	10	2	Retinyl palmitate	C36H60O2	79-81-2	all-trans-retinyl palmitate	CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	InChI=1S/C36H60O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-25-35(37)38-30-28-32(3)23-20-22-31(2)26-27-34-33(4)24-21-29-36(34,5)6/h20,22-23,26-28H,7-19,21,24-25,29-30H2,1-6H3/b23-20+,27-26+,31-22+,32-28+	VYGQUTWHTHXGQB-FFHKNEKCSA-N	C36H60O2	CHEBI:17616	C02588	HMDB0003648	
J	1	2	Solvent Blue 35	C22H26N2O2	17354-14-2	Solvent Blue 35	CCCCNC1=C2C(=C(C=C1)NCCCC)C(=O)C3=CC=CC=C3C2=O	InChI=1S/C22H26N2O2/c1-3-5-13-23-17-11-12-18(24-14-6-4-2)20-19(17)21(25)15-9-7-8-10-16(15)22(20)26/h7-12,23-24H,3-6,13-14H2,1-2H3	OCQDPIXQTSYZJL-UHFFFAOYSA-N	C22H26N2O2				
I	10	6	1,5,5-Trimethylhydantoin	C6H10N2O2	6851-81-6	Pyrocin	CC(=CC1CC(=O)OC1(C)C)C	InChI=1S/C10H16O2/c1-7(2)5-8-6-9(11)12-10(8,3)4/h5,8H,6H2,1-4H3	IEBXZRQOXHLIGF-UHFFFAOYSA-N	C10H16O2				
A	10	1	17a-Ethynylestradiol			17alpha-ethynylestradiol	[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@@]3(O)C#C)[C@]1([H])CCc1cc(O)ccc21	InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1	BFPYWIDHMRZLRN-SLHNCBLASA-N	C20H24O2	CHEBI:4903	C07534	HMDB0001926	LMST02010036
C	1	7	1-Aminoadamantane	C10H17N	768-94-5	amantadine	NC12CC3CC(CC(C3)C1)C2	InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2	DKNWSYNQZKUICI-UHFFFAOYSA-N	C10H17N	CHEBI:2618	C06818	HMDB0015051	
			4-n-propylphenol	C9H12O	645-56-7	4-Propylphenol	CCCC1=CC=C(O)C=C1	InChI=1S/C9H12O/c1-2-3-8-4-6-9(10)7-5-8/h4-7,10H,2-3H2,1H3	KLSLBUSXWBJMEC-UHFFFAOYSA-N	C9H12O	CHEBI:34434	C14311	HMDB0032625	
I	3	10	4-Phenyl-2-butanol	C10H14O	2344-70-9	4-Phenyl-2-butanol	CC(C)(O)CCC1=CC=CC=C1	InChI=1S/C11H16O/c1-11(2,12)9-8-10-6-4-3-5-7-10/h3-7,12H,8-9H2,1-2H3	YXVSKJDFNJFXAJ-UHFFFAOYSA-N	C11H16O			HMDB0031866	
E	2	9	Amitriptyline hydrochloride	C20H23N.HCl	549-18-8	amitriptyline	CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	KRMDCWKBEZIMAB-UHFFFAOYSA-N	C20H23N	CHEBI:2666	C06824	HMDB0014466	
			Amlodipine	C20H25ClN2O5	88150-42-9	amlodipine	CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC	InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3	HTIQEAQVCYTUBX-UHFFFAOYSA-N	C20H25ClN2O5	CHEBI:2668	C06825	HMDB0005018	
